property,propertyLabel
http://www.wikidata.org/entity/P301,category's main topic
http://www.wikidata.org/entity/P373,Commons category
http://www.wikidata.org/entity/P910,topic's main category
http://www.wikidata.org/entity/P971,category combines topics
http://www.wikidata.org/entity/P1200,bodies of water basin category
http://www.wikidata.org/entity/P1464,category for people born here
http://www.wikidata.org/entity/P1465,category for people who died here
http://www.wikidata.org/entity/P1740,category for films shot at this location
http://www.wikidata.org/entity/P1753,list related to category
http://www.wikidata.org/entity/P1754,category related to list
http://www.wikidata.org/entity/P1791,category of people buried here
http://www.wikidata.org/entity/P1792,category of associated people
http://www.wikidata.org/entity/P2033,category for pictures taken with camera
http://www.wikidata.org/entity/P2517,category for recipients of this award
http://www.wikidata.org/entity/P2875,property usage tracking category
http://www.wikidata.org/entity/P3709,category for value different from Wikidata
http://www.wikidata.org/entity/P3713,category for value not in Wikidata
http://www.wikidata.org/entity/P3734,category for value same as Wikidata
http://www.wikidata.org/entity/P3876,category for alumni of educational institution
http://www.wikidata.org/entity/P4195,category for employees of the organization
http://www.wikidata.org/entity/P4224,category contains
http://www.wikidata.org/entity/P5996,category for films in this language
http://www.wikidata.org/entity/P6112,category for members of a team
http://www.wikidata.org/entity/P6186,category for eponymous categories
http://www.wikidata.org/entity/P6365,member category
http://www.wikidata.org/entity/P7084,related category
http://www.wikidata.org/entity/P7561,category for the interior of the item
http://www.wikidata.org/entity/P7782,category for ship name
http://www.wikidata.org/entity/P7861,category for files created with program
http://www.wikidata.org/entity/P7867,category for maps
http://www.wikidata.org/entity/P8464,content partnership category
http://www.wikidata.org/entity/P10280,category for honorary citizens of entity
http://www.wikidata.org/entity/P2517,category for recipients of this award
http://www.wikidata.org/entity/P2875,property usage tracking category
http://www.wikidata.org/entity/P3876,category for alumni of educational institution
http://www.wikidata.org/entity/P6112,category for members of a team
http://www.wikidata.org/entity/P8464,content partnership category
http://www.wikidata.org/entity/P1200,bodies of water basin category
http://www.wikidata.org/entity/P1464,category for people born here
http://www.wikidata.org/entity/P1465,category for people who died here
http://www.wikidata.org/entity/P1740,category for films shot at this location
http://www.wikidata.org/entity/P1791,category of people buried here
http://www.wikidata.org/entity/P1792,category of associated people
http://www.wikidata.org/entity/P5996,category for films in this language
http://www.wikidata.org/entity/P10280,category for honorary citizens of entity
